email_address,email_type,email_perm, email_freq
mgarcia@gmail.com,Personal,Opt-Out,21
hudsonmolly@example.org,Other,Opt-In,14
solismelissa@cochran.com,Work,Opt-In,21
zachary69@example.org,Other,Opt-In,14
dstein@simon.net,Home,Opt-Out,7
acollins@example.net,Unknown,Unkown,14
jason89@example.com,Unknown,Opt-In,21
grantallen@butler-phillips.com,Work,Opt-In,7
vaughnrichard@example.org,Other,Opt-In,21
garrisonrobert@larson.com,Work,Opt-In,21
diane83@cannon.biz,Work,Opt-In,14
nelsonmegan@example.org,Other,Opt-In,21
ihayes@example.org,Unknown,Opt-In,14
diana38@lopez.net,Home,Opt-In,7
conradkimberly@yahoo.com,Personal,Opt-Out,21
lesliewalters@example.net,Other,Unkown,14
vgraves@example.com,Unknown,Opt-In,21
josephjohnson@yahoo.com,Home,Unkown,14
brian97@mcintosh.info,Home,Opt-Out,21
charles67@marquez.com,Work,Opt-In,14
matthewbanks@example.net,Other,Opt-In,21
yparker@yahoo.com,Personal,Opt-In,14
danielswanson@example.org,Other,Unkown,14
margaretbradford@baker.info,Work,Opt-Out,30
gcamacho@example.net,Other,Unkown,14
joshua69@jenkins-mendoza.org,Home,Opt-Out,1
david97@smith-gibson.com,Work,Opt-In,30
brownkatelyn@example.com,Unknown,Opt-Out,21
stewartsherry@giles.biz,Home,Opt-Out,1
shawna19@example.org,Other,Unkown,14
marthadavies@york.com,Work,Opt-Out,30
dana72@gmail.com,Personal,Opt-In,7
sfrey@santos.biz,Work,Opt-Out,30
rachelho@james.com,Work,Opt-Out,14
rdavis@wilson.com,Home,Opt-In,21
barneslauren@martin-estes.info,Work,Opt-Out,21
lori28@anderson.biz,Work,Opt-In,30
vhunt@example.net,Other,Unkown,21
katherine39@yahoo.com,Home,Opt-In,7
fullermarcia@gmail.com,Home,Opt-Out,1
johnsonvalerie@gmail.com,Personal,Opt-In,1
kramerjames@tucker-rodriguez.com,Work,Opt-In,7
bryancoleman@yahoo.com,Personal,Opt-In,14
nfranco@pittman.com,Work,Opt-In,30
garrettcraig@hotmail.com,Personal,Opt-In,21
jason35@example.org,Other,Opt-In,14
yjacobs@butler.biz,Home,Opt-Out,14
imurphy@example.com,Unknown,Opt-In,21
bridgessean@hall.info,Work,Opt-Out,21
collierjuan@example.com,Other,Opt-In,14
kowen@washington.org,Work,Opt-In,21
wmcdonald@example.org,Other,Opt-In,14
michaelsolis@gmail.com,Personal,Opt-Out,1
andreareyes@example.net,Other,Opt-Out,21
scott93@yahoo.com,Home,Opt-Out,21
brownkathleen@yahoo.com,Personal,Unkown,21
gnelson@webb-miller.net,Home,Opt-In,21
justin35@obrien-snyder.com,Home,Unkown,1
villawilliam@example.org,Unknown,Unkown,21
dhodges@patrick.com,Home,Opt-Out,1
ellenrobinson@hotmail.com,Personal,Opt-Out,14
brownjesus@yahoo.com,Personal,Unkown,1
boydkevin@example.org,Unknown,Opt-In,14
jeffreyriley@hotmail.com,Home,Opt-In,7
tcox@russell-wood.net,Work,Opt-Out,30
andres00@example.net,Unknown,Unkown,21
tiffanykeith@example.com,Other,Opt-In,14
ustafford@example.net,Other,Opt-In,21
mikaylabrown@byrd-adams.com,Work,Opt-In,14
grogers@example.net,Other,Opt-Out,14
hollyjones@example.org,Other,Unkown,21
thomas94@example.net,Other,Opt-In,14
rachaelrubio@example.net,Unknown,Opt-In,14
casey31@mullins-castillo.biz,Work,Opt-In,14
dmorales@example.net,Other,Opt-In,21
antoniothompson@hawkins.org,Work,Opt-Out,7
carla39@anderson.com,Work,Opt-In,21
moodyjacob@example.org,Unknown,Unkown,21
lrodgers@pham-mcclain.biz,Home,Unkown,1
laura88@gmail.com,Personal,Opt-In,14
bbowen@adams.com,Home,Opt-In,21
barry31@brock-porter.com,Home,Unkown,1
connerrichard@young.com,Work,Opt-Out,21
kelly76@gmail.com,Home,Opt-In,14
jonesmelissa@gmail.com,Personal,Opt-Out,1
walkerrobert@livingston.com,Home,Opt-Out,7
amandaevans@yahoo.com,Personal,Opt-In,7
janicenelson@example.com,Unknown,Opt-In,21
wmendoza@yahoo.com,Personal,Opt-Out,1
nmontgomery@powell.com,Work,Opt-In,21
jonesdawn@walters.com,Work,Opt-Out,14
stevenmcmahon@gmail.com,Home,Unkown,14
jjackson@abbott.net,Home,Opt-In,21
carrie94@hotmail.com,Home,Opt-In,14
linda60@example.com,Unknown,Opt-In,14
matthew84@gmail.com,Home,Opt-In,21
smithmelvin@woods-flores.com,Work,Opt-In,14
timothy83@boyer.com,Home,Opt-In,14
gregorymelissa@yahoo.com,Home,Unkown,14
peggyperez@barrett-bishop.net,Work,Opt-Out,21
davidsharp@yahoo.com,Personal,Opt-Out,7
millerjessica@example.net,Unknown,Opt-Out,14
maryoneal@example.com,Other,Opt-In,14
jamesjohnson@sexton-contreras.com,Work,Opt-In,30
gabrielle15@garcia-medina.com,Work,Opt-In,7
cfranklin@example.org,Other,Opt-In,14
fwatson@example.org,Unknown,Opt-In,14
oliviavasquez@example.com,Unknown,Opt-Out,14
kingamanda@example.net,Other,Opt-In,14
qcastillo@example.net,Unknown,Opt-In,21
wrightjessica@example.org,Other,Opt-Out,21
yzimmerman@gmail.com,Home,Opt-Out,14
vkelly@gmail.com,Personal,Opt-Out,21
michelle02@carpenter-greene.com,Home,Opt-In,14
wburnett@gmail.com,Home,Opt-In,14
cindy60@gmail.com,Personal,Opt-In,21
wbarton@example.com,Other,Unkown,14
matthewstimothy@ferguson.com,Home,Unkown,7
rebeccaaustin@example.net,Unknown,Unkown,14
wallerrita@padilla-oconnell.com,Work,Opt-In,7
david16@example.org,Other,Opt-Out,14
dmedina@hunter.com,Work,Opt-In,30
amandawatts@gmail.com,Home,Opt-In,14
danieldavis@harris.net,Work,Opt-In,30
williamsjeffrey@example.net,Other,Opt-In,21
matthew86@hotmail.com,Personal,Opt-In,7
sandovalcody@gmail.com,Home,Opt-Out,1
erikwilliams@gmail.com,Personal,Opt-Out,1
drichardson@yahoo.com,Personal,Opt-In,21
gregory01@example.com,Other,Opt-In,14
thomaswise@escobar.net,Home,Unkown,21
hlyons@gmail.com,Home,Opt-In,21
mitchell41@example.org,Other,Opt-Out,21
josephrose@anderson.net,Work,Opt-Out,21
maynardjames@howard.com,Work,Opt-In,7
annagregory@yahoo.com,Home,Opt-Out,14
oliverparker@anderson.net,Work,Opt-Out,7
garrett23@example.com,Other,Opt-Out,21
andre11@gmail.com,Personal,Unkown,21
thomasandre@wood.info,Work,Opt-Out,7
tmartinez@example.net,Other,Opt-In,14
bryantjason@paul.biz,Work,Opt-Out,14
ksmith@yahoo.com,Home,Opt-In,1
mcfarlandlarry@example.org,Other,Opt-Out,14
kenneth24@example.com,Unknown,Opt-Out,14
alvaradolindsey@hernandez.com,Work,Opt-Out,30
latoya33@martin-wilson.org,Work,Opt-In,14
phillip34@williams-solis.com,Home,Opt-In,14
sean15@example.org,Unknown,Opt-Out,14
daykatherine@yahoo.com,Personal,Opt-In,1
karen55@example.org,Unknown,Opt-In,14
john85@example.org,Other,Unkown,21
stephensoncharlene@nicholson.com,Work,Opt-In,7
ksims@example.net,Unknown,Opt-In,14
sarahwyatt@example.net,Other,Unkown,21
baileyrachel@example.com,Unknown,Opt-In,14
julie38@example.com,Other,Opt-In,21
elizabethrobbins@sampson.com,Home,Opt-Out,1
patricia70@yahoo.com,Personal,Unkown,1
jjones@holland.info,Work,Opt-In,30
callahankimberly@example.com,Unknown,Opt-In,14
jeffersonricky@rodriguez.com,Home,Opt-In,1
michaelperry@example.net,Other,Unkown,14
jeremyreeves@example.org,Unknown,Opt-Out,21
murphydana@stein.biz,Home,Opt-In,7
kenneth05@brown.com,Home,Opt-Out,1
dhorton@yahoo.com,Home,Opt-In,21
hamiltonkaitlin@yahoo.com,Home,Opt-Out,14
stacy57@example.net,Unknown,Opt-In,14
vkelly@example.com,Other,Opt-In,14
bailey33@example.org,Unknown,Opt-Out,21
michelle12@yahoo.com,Personal,Unkown,14
joseph11@example.org,Other,Unkown,21
richard75@example.net,Other,Unkown,14
mirandajustin@example.com,Unknown,Unkown,21
robinlee@yahoo.com,Personal,Opt-In,14
hoodvalerie@example.com,Unknown,Unkown,14
garrettelizabeth@example.com,Unknown,Opt-In,14
cjones@wilson.com,Home,Opt-In,1
bbentley@ayers-carroll.com,Home,Opt-In,21
rodriguezshannon@example.net,Other,Unkown,21
faulknerdaniel@example.net,Other,Opt-In,14
daniellevillarreal@smith.com,Home,Unkown,7
lelliott@flores.com,Work,Opt-In,7
jeff58@miller.org,Work,Opt-Out,30
sierraroberts@hotmail.com,Personal,Opt-In,1
charlenesmith@example.net,Other,Opt-Out,14
james92@hotmail.com,Personal,Opt-In,1
gomezjennifer@hotmail.com,Personal,Opt-In,1
mnewton@example.org,Other,Opt-Out,14
amanda11@cortez.com,Home,Opt-In,7
adamshenry@example.com,Other,Opt-In,14
john08@moore.biz,Home,Opt-In,1
brownanita@example.org,Other,Opt-In,21
ronaldstone@hotmail.com,Personal,Opt-In,7
qsmith@hotmail.com,Home,Opt-In,1
georgelopez@example.org,Other,Opt-In,21
csummers@hotmail.com,Home,Opt-In,7
brennanangela@yahoo.com,Personal,Opt-In,1
angela33@yahoo.com,Personal,Opt-In,14
elizabethflowers@conner-ayala.com,Home,Opt-In,1
brittany23@example.com,Other,Opt-In,14
aweaver@gmail.com,Home,Unkown,1
angela86@gonzalez-thompson.biz,Home,Opt-Out,21
bestkim@example.net,Unknown,Opt-Out,21
mark81@example.com,Unknown,Unkown,21
hsullivan@example.net,Other,Opt-In,14
spencerrobert@example.net,Other,Opt-In,21
gregory61@example.com,Unknown,Opt-Out,14
tshaw@example.com,Unknown,Opt-In,14
josephcase@romero.org,Home,Opt-In,7
robertjackson@garcia-thomas.com,Work,Opt-Out,21
corycortez@herman-hill.com,Home,Unkown,14
millercurtis@example.com,Other,Opt-In,14
gibsonjulia@martinez-estrada.net,Work,Opt-In,21
daniel51@yahoo.com,Personal,Unkown,14
hhamilton@example.com,Unknown,Opt-In,14
mia83@hotmail.com,Personal,Opt-In,14
kaitlynpope@rodriguez.com,Work,Opt-Out,14
sandrabennett@example.com,Unknown,Opt-In,14
alyssataylor@gmail.com,Personal,Opt-In,1
davismichael@yahoo.com,Home,Unkown,7
hhunter@hansen.com,Work,Opt-Out,21
clarencejones@rivas.com,Work,Opt-In,14
fowlerdarren@gmail.com,Personal,Opt-In,1
hallann@example.org,Other,Opt-In,14
yrichards@yahoo.com,Home,Opt-In,1
ehoward@hotmail.com,Personal,Opt-In,21
ustevens@example.net,Unknown,Opt-Out,21
ygibbs@chung-hill.com,Home,Opt-In,21
edwardgutierrez@example.com,Other,Opt-In,14
carol27@example.net,Unknown,Opt-Out,21
brianjones@example.org,Other,Opt-In,21
ryanpatrick@example.org,Other,Opt-In,21
travisjacobs@tucker.com,Home,Unkown,1
megananderson@example.net,Other,Opt-Out,14
dcastro@hotmail.com,Personal,Opt-Out,1
pgonzales@bell.biz,Home,Opt-In,14
