phone_number,phone_perm,phone_freq
(642)647-3601,Opt-In,14
(254)750-6609,Unkown,45
(403)689-3451,Unkown,30
(277)705-7308,Unkown,7
(243)502-2994,Opt-In,21
(756)766-2253,Opt-Out,45
(257)617-6131,Opt-In,21
(229)476-2043,Opt-In,7
(522)450-9861,Unkown,45
(697)436-1342,Unkown,45
(361)435-7875,Opt-In,7
(611)530-3656,Opt-In,7
(467)593-5669,Opt-In,14
(589)583-8040,Opt-In,14
(277)510-6618,Opt-In,45
(277)579-7334,Unkown,14
(466)387-9740,Opt-In,30
(389)385-4227,Opt-In,7
(688)322-3403,Unkown,21
(366)523-7151,Opt-Out,30
(735)698-4396,Opt-In,14
(307)416-0045,Unkown,7
(407)796-8239,Unkown,30
(385)778-0590,Opt-Out,30
(376)666-1836,Opt-In,7
(562)539-3874,Opt-In,21
(235)310-5267,Opt-In,45
(743)437-0345,Opt-In,14
(548)329-0848,Unkown,21
(632)397-5295,Opt-Out,14
(222)563-1545,Unkown,21
(280)739-8883,Opt-In,21
(467)689-4608,Opt-In,45
(466)748-2932,Unkown,45
(321)492-3699,Opt-In,21
(324)410-3348,Unkown,45
(705)530-5835,Unkown,14
(545)536-7915,Opt-In,30
(621)547-5686,Opt-In,45
(764)610-4679,Opt-In,30
(662)312-1573,Unkown,45
(705)327-2785,Opt-In,45
(504)777-1799,Opt-Out,45
(201)617-2731,Opt-In,45
(557)643-6116,Opt-In,7
(227)737-2359,Opt-In,14
(516)736-6399,Opt-In,45
(670)320-2381,Opt-In,45
(756)630-0587,Unkown,14
(337)557-3027,Opt-In,21
(774)417-7613,Opt-Out,30
(464)450-3739,Opt-In,30
(548)416-0166,Opt-Out,21
(563)458-1524,Opt-Out,14
(438)384-9680,Opt-In,7
(478)623-6487,Opt-In,21
(469)663-4289,Opt-In,45
(651)550-3458,Opt-Out,45
(636)432-0652,Opt-Out,14
(221)502-3242,Opt-Out,7
(794)340-5678,Opt-In,21
(316)730-4341,Unkown,30
(778)743-8496,Opt-Out,7
(319)457-8044,Opt-Out,45
