customer_id,first_name,last_name,user_name,gender,ssn,birthdate,job,creditcard,ethnicity,married,income,education,source_id
1,Amber,Orozco,orozcmber732,F,436-10-1438,1934-04-03,Secretary company,372342582864860|05/27|American Express,Other,M,225000,DR,36
2,Dakota,Ballard,ballakota935,M,759-27-7379,1926-09-02,Insurance broker,4269640619663033|05/31|VISA 16 digit,Black,M,25000,HS,36
3,Angela,Gardner,gardngela181,F,359-83-2197,2019-03-25,Printmaker,4533428562881376|04/28|JCB 15 digit,Black,D,325000,BA,25
4,Sarah,Nelson,nelsoarah071,F,226-65-5186,1956-10-18,Art therapist,30156052291782|03/31|JCB 16 digit,Black,M,550000,MA,11
5,Frank,White,whiterank730,M,484-42-9482,2001-02-17,Structural engineer,30251129074541|11/25|VISA 13 digit,Indian,M,25000,BA,3
6,Antonio,Mccormick,mccoronio408,U,829-36-6455,1998-03-09,Senior tax professional/tax inspector,5406727880494528|11/31|JCB 15 digit,White,M,100000,HS,37
7,Tyrone,Robinson,robinrone121,M,830-60-5413,1992-06-20,Investment banker corporate,4593007909553966388|10/30|VISA 19 digit,Asian,M,600000,MA,37
8,Jade,Horton,hortojade967,U,138-98-0290,1923-07-11,Therapist drama,3565120495258615|10/24|VISA 19 digit,Other,M,800000,BA,40
9,John,Huerta,huertjohn054,M,341-98-9885,1958-09-04,Lecturer higher education,36751127218903|08/31|VISA 16 digit,White,M,1000000,AA,17
10,Katherine,Phillips,phillrine358,F,793-80-9210,1922-04-13,Designer interior/spatial,5591170685011376|12/30|Maestro,Black,S,275000,BA,23
11,Robert,Roberts,roberbert183,M,130-57-7236,1935-03-26,Ranger/warden,345025086328177|04/28|Mastercard,White,M,225000,BA,31
12,Candace,Blake,blakedace704,F,465-10-8606,1941-11-27,Civil engineer consulting,3585912114229522|03/31|VISA 13 digit,Latino,M,800000,HS,15
13,Anthony,Hawkins,hawkihony631,M,789-04-5405,1915-08-07,Scientist research (life sciences),4251764995195491|06/31|Mastercard,Asian,M,450000,MA,38
14,Kimberly,Fields,fielderly919,F,362-41-6784,2008-03-12,Leisure centre manager,180097566110100|12/30|American Express,White,M,450000,AA,44
15,Kelly,Brown,brownelly616,M,804-95-3712,2006-08-11,Sound technician broadcasting/film/video,4155462798968902|04/31|Diners Club,Black,M,25000,MA,42
16,Lindsey,Heath,heathdsey099,F,701-23-1403,1986-08-02,Paramedic,3582032061237411|08/28|Diners Club,Latino,M,1000000,MA,20
17,Lindsey,Heath,heathdsey099,F,701-23-1403,1986-08-02,Paramedic,3582032061237411|08/28|Diners Club,Latino,M,1000000,MA,20
18,Alexis,Wilson,wilsoexis364,U,601-48-1740,1975-09-27,Psychotherapist,180004489913339|11/30|VISA 13 digit,White,D,600000,MA,36
19,Tammy,Klein,kleinammy129,F,532-10-7567,1932-05-16,Public librarian,3538580183118922|05/25|Discover,Latino,M,1000000,AA,29
20,Alex,Rangel,rangealex515,M,745-04-9906,1962-09-08,Hydrogeologist,180069124095529|07/25|Maestro,Other,D,75000,BA,37
21,Lawrence,Nash,nashence684,M,490-79-8916,1954-11-09,Chemical engineer,6521314345584652|01/26|VISA 16 digit,White,M,325000,MA,17
22,Parker,Taylor,taylorker949,M,106-80-9335,1915-09-01,Race relations officer,376760685620325|01/26|American Express,Latino,U,500000,BA,31
23,John,Mendoza,mendojohn184,M,291-66-2041,1978-11-08,Production designer theatre/television/film,30231989373019|11/29|Discover,White,M,900000,HS,42
24,Charles,Ford,fordrles730,M,056-70-9480,2007-10-07,Medical physicist,375553105775311|07/31|VISA 16 digit,White,M,35000,BA,36
