customer_id,email,email_type,email_date
1,jacquelinebarnett@example.net,P,2018-01-18
2,shawnbeck@example.org,W,2020-06-10
2,gilbertkathy@rollins.com,O,2016-02-04
2,lindsay16@gmail.com,P,2019-02-03
3,biancaross@york.com,W,2015-11-05
4,orozcovictor@example.net,P,2020-01-02
4,gabrielrodriguez@example.org,P,2015-06-06
4,kellyandrea@gmail.com,O,2017-12-28
5,kevin61@hotmail.com,P,2019-11-16
5,ferrellshawn@hotmail.com,W,2020-06-02
5,leslie99@example.com,P,2020-06-03
5,moorejeffrey@hotmail.com,O,2015-07-04
6,susan37@example.org,P,2015-03-25
10,amber89@morales.biz,P,2019-05-24
10,amy29@example.org,W,2015-09-17
10,deanjanice@gmail.com,P,2016-04-13
10,eashley@yahoo.com,W,2016-06-10
11,larrylove@perkins-gonzales.com,P,2020-11-14
11,dbates@example.net,P,2017-06-10
11,deanna00@clark.com,W,2017-09-27
13,jennifer39@yahoo.com,P,2017-01-18
13,marcchavez@example.org,P,2020-05-23
16,carsonmaria@example.com,O,2015-06-12
16,omorales@gmail.com,P,2017-04-09
17,carsonmaria@example.com,O,2015-06-12
17,omorales@gmail.com,P,2017-04-09
19,jonathan76@example.org,O,2018-11-25
19,anthony29@mann-browning.com,P,2017-10-18
21,jason10@yahoo.com,P,2019-01-28
23,victor22@yahoo.com,W,2016-08-11
24,mistylester@example.org,P,2015-07-21
24,deborah09@rivera.info,O,2017-12-17
26,ajackson@yahoo.com,W,2020-09-02
27,burnsjonathan@example.net,W,2018-06-28
27,nsmith@example.org,W,2020-12-01
27,robertsheather@hotmail.com,P,2020-01-22
27,richmondbrandy@example.org,P,2019-09-20
28,holly62@mcdonald.com,W,2016-08-05
28,summerssharon@example.org,W,2017-02-14
28,destinybaker@example.com,P,2015-12-29
30,michael30@thomas-valencia.com,P,2015-06-08
31,chelsealopez@example.org,W,2018-01-22
31,lori73@blake.com,P,2018-02-15
32,brandon05@example.org,P,2018-05-29
32,megan60@powers.biz,W,2015-11-15
33,johnsonlisa@yahoo.com,P,2015-07-03
33,ddavis@palmer.com,P,2016-07-15
33,brent48@example.com,W,2019-01-03
33,craig41@blair.com,W,2020-03-28
35,hpowell@shields.com,O,2018-03-17
35,colemanjoshua@yahoo.com,P,2016-11-21
35,matthewrobinson@example.net,W,2017-07-21
35,cjones@yahoo.com,P,2016-08-09
36,gbarry@yahoo.com,W,2020-08-04
36,tgonzalez@hotmail.com,P,2017-05-02
36,cunninghamwilliam@yahoo.com,W,2017-11-22
36,vthomas@hotmail.com,P,2018-12-14
37,gbarry@yahoo.com,W,2020-08-04
37,tgonzalez@hotmail.com,P,2017-05-02
37,cunninghamwilliam@yahoo.com,W,2017-11-22
37,vthomas@hotmail.com,P,2018-12-14
38,qjenkins@example.org,P,2018-08-31
38,evanskeith@yahoo.com,P,2020-04-28
38,barnesryan@gmail.com,O,2017-03-24
39,mperez@yahoo.com,P,2018-10-24
39,rvincent@hotmail.com,W,2020-01-09
39,michellejones@hotmail.com,P,2017-12-26
39,roy99@yahoo.com,W,2019-01-04
40,robert10@example.net,W,2017-08-12
40,whoffman@graham-mccoy.org,P,2018-07-14
40,rdaniels@ramos.info,P,2018-05-03
40,michele61@adams.com,P,2019-09-29
41,kingamanda@example.net,P,2015-01-11
42,utorres@example.org,P,2017-01-11
43,daniel74@example.com,O,2019-03-18
43,lisa63@fisher.org,P,2020-02-17
43,archersarah@example.com,P,2018-06-20
44,brendankim@example.com,O,2017-04-16
44,michael01@evans-lawson.org,W,2019-02-09
45,nmolina@example.com,P,2019-02-07
45,ebonythompson@hotmail.com,P,2019-11-12
45,johnskinner@solis.biz,P,2017-08-05
46,imoore@paul.com,O,2019-05-15
46,kevinharris@montgomery.com,P,2020-12-17
47,oliviabennett@example.net,W,2020-10-02
47,mark12@silva-ruiz.com,P,2017-06-30
47,jason83@example.com,P,2015-11-29
47,dana84@turner.net,P,2015-02-10
49,jessica63@example.org,W,2020-01-07
49,jefferygreen@example.net,P,2015-03-05
51,zacharyjohnson@example.org,P,2018-07-23
51,connor81@hotmail.com,W,2019-02-19
51,jonesdiana@yahoo.com,W,2015-08-06
52,melissa43@hotmail.com,O,2016-07-20
52,cbrown@mendez-johnson.com,O,2016-01-04
53,jeremy44@cole-clarke.com,P,2018-09-08
53,alanhernandez@williams-brown.info,P,2017-04-04
53,garzajon@example.net,W,2017-05-01
54,gibsonjessica@example.com,P,2019-05-16
54,ysherman@example.net,P,2016-06-19
54,jodilawson@hotmail.com,P,2020-10-09
